,id,sneaker,price,brand,date
0,1,['Jordan 15 OG Low Black Silver'],300,Jordan,release: 09/06/2000
1,2,['Jordan 15 OG Low White Red'],300,Jordan,release: 01/01/2000
2,3,['Jordan 15 OG Low Midnight Navy'],325,Jordan,release: 01/01/2000
3,4,['Jordan 14 OG Low Ginger'],755,Jordan,release: 09/15/1999
4,5,['Jordan 14 OG Low Columbia Blue'],399,Jordan,release: 08/04/1999
5,6,['Jordan 14 OG Low Varsity Royal'],243,Jordan,release: 06/23/1999
6,7,['Air Flightposite Black Metalic Silver (1999)'],494,Air,release: 01/01/1999
7,8,['Jordan 13 Retro Low Navy (1998)'],250,Jordan,release: 06/01/1998
8,9,['Jordan 13 Retro Low Chutney (1998)'],450,Jordan,release: 06/01/1998
9,10,['Air Foamposite One Royal OG (1997)'],480,Air,release: 01/01/1997
0,1,['Jordan 16 OG Low Black / Chrome'],265,Jordan,release: 09/29/2001
1,2,['Jordan 11 Retro Low Pink Snakeskin (2001) (W)'],900,Jordan,release: 05/26/2001
2,3,['Jordan 11 Retro Low Columbia Blue (2001)'],222,Jordan,release: 04/14/2001
3,4,['Jordan 11 Retro Low Cherry (2001)'],280,Jordan,release: 04/14/2001
4,5,['Jordan 11 Retro Low Metallic Silver (W)'],380,Jordan,release: 04/14/2001
5,6,['Jordan 11 Retro Low Citrus (2001) (W)'],575,Jordan,release: 04/14/2001
6,7,['Air Force 1 High Sheed Black Patent'],279,Air,release: 04/01/2001
0,1,['Jordan 17 OG Low Black Chrome'],350,Jordan,release: 10/05/2002
1,2,['Nike Dunk SB High Wheat'],475,Nike,release: 10/01/2002
2,3,['Nike SB Dunk Low Shark'],717,Nike,release: 10/01/2002
3,4,['Nike SB Dunk Low Orange Flash'],800,Nike,release: 10/01/2002
4,5,['Jordan 9 Retro Low Blue Pearl'],250,Jordan,release: 09/21/2002
5,6,['Jordan 9 Retro Low Chrome'],250,Jordan,release: 07/03/2002
6,7,['Jordan 17 OG Low White Carolina'],300,Jordan,release: 06/01/2002
7,8,['Air Trainer SC High Escape'],300,Air,release: 06/01/2002
8,9,['Jordan 17 OG Low All-Star'],390,Jordan,release: 06/01/2002
9,10,['Nike SB Dunk Low Gino Iannucci 2'],500,Nike,release: 05/01/2002
10,11,['Jordan 6 Retro Low University Blue'],200,Jordan,release: 04/27/2002
11,12,['Jordan 6 Retro Low Chrome (2002)'],230,Jordan,release: 04/27/2002
12,13,['Jordan 6 Retro Low Coral Rose (W)'],500,Jordan,release: 04/27/2002
13,14,['Nike Dunk SB Low Brown Pack'],285,Nike,release: 03/01/2002
14,15,['Nike SB Dunk Low Gino Iannucci 1'],532,Nike,release: 03/01/2002
0,1,['Nike Dunk SB Low Bison'],680,Nike,release: 03/01/2003
1,2,['Nike Dunk Low Pro SB Futura'],998,Nike,release: 03/01/2003
2,3,['Nike SB Zoom Air Angus Pabst Blue Ribbon'],115,Nike,release: 01/01/2003
