,sneaker,price,brand
0,['adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective)'],253,adidas
1,['adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)'],220,adidas
2,['Jordan 1 Retro High Obsidian UNC'],249,Jordan
3,['Jordan 1 Retro High First Class Flight'],175,Jordan
4,['adidas Yeezy Boost 700 V2 Hospital Blue'],276,adidas
5,['Nike Blazer Mid 77 Vintage White Black'],119,Nike
6,['adidas Yeezy Boost 350 V2 Cream/Triple White'],279,adidas
7,['adidas Yeezy Boost 350 V2 Lundmark (Non Reflective)'],264,adidas
8,['adidas Yeezy Boost 350 V2 Semi Frozen Yellow'],289,adidas
9,['adidas Yeezy Boost 700 Magnet'],327,adidas
10,['adidas Yeezy Boost 350 V2 Clay'],319,adidas
11,['adidas Yeezy Boost 350 V2 Sesame'],277,adidas
12,['adidas Yeezy Boost 350 V2 Zebra'],410,adidas
13,['Nike SB Dunk Low Supreme Jewel Swoosh Silver'],228,Nike
14,['Jordan 1 Retro Low OG SP Travis Scott'],769,Jordan
15,['adidas Yeezy Boost 700 V2 Geode'],269,adidas
16,['adidas Yeezy Boost 350 V2 Static (Non-Reflective)'],350,adidas
17,['adidas Yeezy 500 Bone White'],233,adidas
18,['adidas Yeezy Boost 700 Utility Black'],305,adidas
19,['Jordan 1 Retro High Rookie of the Year'],304,Jordan
20,['Jordan 1 Retro High Black Crimson Tint'],184,Jordan
21,['Nike SB Dunk Low Supreme Jewel Swoosh Red'],271,Nike
22,['Jordan 1 Retro High Turbo Green'],260,Jordan
23,['adidas Yeezy 500 Salt'],241,adidas
24,['adidas Yeezy 500 Utility Black'],355,adidas
25,['adidas Yeezy Boost 700 V2 Vanta'],398,adidas
26,['adidas Yeezy Powerphase Calabasas Core White'],450,adidas
27,['adidas Ultra Boost Mid Ronnie Fieg'],249,adidas
28,['adidas Ultra Boost 1.0 SNS X Social Status'],227,adidas
29,['adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective)'],253,adidas
30,['adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)'],220,adidas
31,['Jordan 1 Retro High Obsidian UNC'],249,Jordan
32,['Jordan 1 Retro High First Class Flight'],175,Jordan
33,['adidas Yeezy Boost 700 V2 Hospital Blue'],276,adidas
34,['Nike Blazer Mid 77 Vintage White Black'],119,Nike
35,['adidas Yeezy Boost 350 V2 Cream/Triple White'],279,adidas
36,['adidas Yeezy Boost 350 V2 Lundmark (Non Reflective)'],264,adidas
37,['adidas Yeezy Boost 350 V2 Semi Frozen Yellow'],289,adidas
38,['adidas Yeezy Boost 700 Magnet'],327,adidas
39,['adidas Yeezy Boost 350 V2 Clay'],319,adidas
40,['adidas Yeezy Boost 350 V2 Sesame'],277,adidas
41,['adidas Yeezy Boost 350 V2 Zebra'],410,adidas
42,['Nike SB Dunk Low Supreme Jewel Swoosh Silver'],228,Nike
43,['Jordan 1 Retro Low OG SP Travis Scott'],769,Jordan
44,['adidas Yeezy Boost 700 V2 Geode'],269,adidas
45,['adidas Yeezy Boost 350 V2 Static (Non-Reflective)'],350,adidas
46,['adidas Yeezy 500 Bone White'],233,adidas
47,['adidas Yeezy Boost 700 Utility Black'],305,adidas
48,['Jordan 1 Retro High Rookie of the Year'],304,Jordan
49,['Jordan 1 Retro High Black Crimson Tint'],184,Jordan
50,['Nike SB Dunk Low Supreme Jewel Swoosh Red'],271,Nike
51,['Jordan 1 Retro High Turbo Green'],260,Jordan
52,['adidas Yeezy 500 Salt'],241,adidas
53,['adidas Yeezy 500 Utility Black'],355,adidas
54,['adidas Yeezy Boost 700 V2 Vanta'],398,adidas
55,['Jordan 1 Retro High Gatorade Orange Peel'],144,Jordan
56,['Nike Classic Cortez Stranger Things Sail Upside Down Pack'],101,Nike
57,['Jordan 1 Retro High Track Red'],442,Jordan
58,['Jordan 1 Retro High Gold Top 3'],589,Jordan
59,['adidas Ultra Boost Lux Sneakersnstuff x Social Status Vintage White'],130,adidas
60,['LeBron 15 Performance KITH Rose Gold'],550,LeBron
61,['adidas Ultra Boost 1.0 SNS Tee Time'],888,adidas
62,['Converse Chuck Taylor All-Star 70s Hi Off-White'],469,Converse
63,"['Jordan 1 Retro High ""Not for Resale"" Varsity Red']",797,Jordan
64,['adidas Yeezy Boost 700 Salt'],255,adidas
65,['Air Fear Of God 1 Black'],850,Air
66,['Converse Chuck Taylor All-Star 70s Hi Fear of God Black'],285,Converse
67,['Jordan 1 Retro High Clay Green'],350,Jordan
68,['adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective)'],253,adidas
69,['adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)'],220,adidas
70,['Jordan 1 Retro High Obsidian UNC'],249,Jordan
71,['Jordan 1 Retro High First Class Flight'],175,Jordan
72,['adidas Yeezy Boost 700 V2 Hospital Blue'],276,adidas
73,['Nike Blazer Mid 77 Vintage White Black'],119,Nike
74,['adidas Yeezy Boost 350 V2 Cream/Triple White'],279,adidas
75,['adidas Yeezy Boost 350 V2 Lundmark (Non Reflective)'],264,adidas
76,['adidas Yeezy Boost 350 V2 Semi Frozen Yellow'],289,adidas
77,['adidas Yeezy Boost 700 Magnet'],327,adidas
78,['adidas Yeezy Boost 350 V2 Clay'],319,adidas
79,['adidas Yeezy Boost 350 V2 Sesame'],277,adidas
80,['adidas Yeezy Boost 350 V2 Zebra'],410,adidas
81,['Nike SB Dunk Low Supreme Jewel Swoosh Silver'],228,Nike
82,['Jordan 1 Retro Low OG SP Travis Scott'],769,Jordan
83,['adidas Yeezy Boost 700 V2 Geode'],269,adidas
84,['adidas Yeezy Boost 350 V2 Static (Non-Reflective)'],350,adidas
85,['adidas Yeezy 500 Bone White'],233,adidas
86,['adidas Yeezy Boost 700 Utility Black'],305,adidas
87,['Jordan 1 Retro High Rookie of the Year'],304,Jordan
88,['Jordan 1 Retro High Black Crimson Tint'],184,Jordan
89,['Nike SB Dunk Low Supreme Jewel Swoosh Red'],271,Nike
90,['Jordan 1 Retro High Turbo Green'],260,Jordan
91,['adidas Yeezy 500 Salt'],241,adidas
92,['adidas Yeezy 500 Utility Black'],355,adidas
93,['adidas Yeezy Boost 700 V2 Vanta'],398,adidas
94,['adidas Yeezy Boost 700 Wave Runner Solid Grey'],410,adidas
95,['Jordan 1 Retro High Neutral Grey Hyper Crimson'],190,Jordan
96,['adidas Yeezy Boost 350 V2 Butter'],260,adidas
97,['adidas Yeezy Boost 350 V2 Beluga 2.0'],486,adidas
98,['adidas Yeezy Boost 350 V2 Blue Tint'],420,adidas
99,['adidas Yeezy Boost 350 V2 Glow'],595,adidas
100,['Jordan 1 Retro High Defiant White Black Gym Red'],150,Jordan
101,['adidas Yeezy 700 Mauve'],300,adidas
102,['adidas Yeezy Boost 700 Inertia'],295,adidas
103,['Jordan 1 Retro High Shadow (2018)'],291,Jordan
104,['adidas Yeezy Boost 350 V2 Antlia (Non-Reflective)'],274,adidas
105,['adidas Yeezy 500 Blush'],349,adidas
106,['Jordan 1 Retro High Game Royal'],360,Jordan
107,['adidas Yeezy Boost 700 V2 Tephra'],280,adidas
108,['adidas Yeezy Boost 700 V2 Inertia'],285,adidas
109,['Jordan 1 Retro High Spider-Man Origin Story'],455,Jordan
110,['Jordan 1 Retro High OG Defiant Couture'],130,Jordan
111,['adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective)'],253,adidas
112,['adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)'],220,adidas
113,['Jordan 1 Retro High Obsidian UNC'],249,Jordan
114,['Jordan 1 Retro High First Class Flight'],175,Jordan
115,['adidas Yeezy Boost 700 V2 Hospital Blue'],276,adidas
116,['Nike Blazer Mid 77 Vintage White Black'],119,Nike
117,['adidas Yeezy Boost 350 V2 Cream/Triple White'],279,adidas
118,['adidas Yeezy Boost 350 V2 Lundmark (Non Reflective)'],264,adidas
119,['adidas Yeezy Boost 350 V2 Semi Frozen Yellow'],289,adidas
120,['adidas Yeezy Boost 700 Magnet'],327,adidas
121,['adidas Yeezy Boost 350 V2 Clay'],319,adidas
122,['adidas Yeezy Boost 350 V2 Sesame'],277,adidas
123,['adidas Yeezy Boost 350 V2 Zebra'],410,adidas
124,['Nike SB Dunk Low Supreme Jewel Swoosh Silver'],228,Nike
125,['Jordan 1 Retro Low OG SP Travis Scott'],769,Jordan
126,['adidas Yeezy Boost 700 V2 Geode'],269,adidas
127,['adidas Yeezy Boost 350 V2 Static (Non-Reflective)'],350,adidas
128,['adidas Yeezy 500 Bone White'],233,adidas
129,['adidas Yeezy Boost 700 Utility Black'],305,adidas
130,['Jordan 1 Retro High Rookie of the Year'],304,Jordan
131,['Jordan 1 Retro High Black Crimson Tint'],184,Jordan
132,['Nike SB Dunk Low Supreme Jewel Swoosh Red'],271,Nike
133,['Jordan 1 Retro High Turbo Green'],260,Jordan
134,['adidas Yeezy 500 Salt'],241,adidas
135,['adidas Yeezy 500 Utility Black'],355,adidas
136,['adidas Yeezy Boost 700 V2 Vanta'],398,adidas
137,['adidas Yeezy Boost 350 V2 Cloud White (Non-Reflective)'],253,adidas
138,['adidas Yeezy Boost 350 V2 Citrin (Non-Reflective)'],220,adidas
