,brand,price,year
0,lebron,400,2004
1,jordan,250,2004
2,nike,459,2004
3,jordan,200,2004
4,jordan,175,2004
5,jordan,250,2004
6,jordan,375,2004
7,lebron,245,2004
8,nike,450,2004
9,air,120,2004
10,jordan,225,2004
11,jordan,330,2004
12,air,311,2004
13,jordan,125,2004
14,jordan,239,2004
15,jordan,210,2004
16,nike,600,2004
17,air,200,2004
18,nike,350,2004
19,jordan,225,2004
20,jordan,185,2004
21,air,280,2004
22,jordan,355,2004
23,jordan,160,2004
24,jordan,225,2004
25,jordan,300,2004
26,air,200,2004
27,nike,349,2004
28,nike,700,2004
29,nike,999,2004
30,jordan,400,2004
31,jordan,140,2004
32,jordan,538,2004
33,nike,425,2004
34,nike,600,2004
35,jordan,225,2006
36,air,250,2006
37,air,449,2006
38,jordan,215,2006
39,jordan,205,2006
40,air,130,2006
41,jordan,245,2006
42,air,355,2006
43,jordan,255,2006
44,air,150,2006
45,nike,288,2006
46,nike,300,2006
47,nike,375,2006
48,jordan,390,2006
49,jordan,250,2006
50,nike,750,2006
51,nike,247,2006
52,nike,275,2006
53,jordan,230,2006
54,jordan,588,2006
55,jordan,200,2006
56,nike,550,2006
57,air,154,2006
58,nike,347,2006
59,nike,350,2006
60,jordan,400,2006
61,jordan,460,2006
62,jordan,414,2006
63,jordan,205,2006
64,jordan,280,2006
65,air,600,2006
66,air,200,2006
67,air,125,2006
68,air,147,2006
69,air,160,2006
70,air,200,2006
71,nike,200,2006
72,lebron,220,2006
73,air,279,2006
74,nike,600,2006
75,jordan,350,2006
76,jordan,225,2006
77,jordan,225,2006
78,air,318,2006
79,air,125,2006
80,air,144,2006
81,nike,100,2006
82,nike,375,2006
83,nike,400,2006
84,nike,444,2006
85,jordan,230,2006
86,jordan,315,2006
87,nike,330,2006
88,jordan,222,2006
89,jordan,280,2006
90,jordan,190,2006
91,air,375,2006
92,air,150,2006
93,kobe,150,2006
94,kobe,225,2006
95,nike,450,2006
96,air,452,2006
97,air,229,2006
98,air,500,2006
99,air,250,2006
100,jordan,300,2006
101,jordan,150,2006
102,air,325,2006
103,air,450,2006
104,nike,540,2006
105,nike,575,2006
106,lebron,175,2006
107,jordan,238,2006
108,reebok,140,2006
109,jordan,280,2006
110,jordan,487,2006
111,air,165,2006
112,kobe,140,2006
113,air,190,2006
114,adidas,475,2006
115,jordan,820,2006
116,jordan,350,2006
117,jordan,575,2006
118,jordan,265,2006
119,jordan,280,2006
120,air,200,2006
121,nike,225,2006
122,air,273,2006
123,air,300,2006
124,air,400,2006
125,air,554,2006
126,jordan,100,2006
127,air,110,2006
128,air,120,2006
129,balance,130,2006
130,air,150,2006
131,air,150,2006
132,air,175,2006
133,kobe,176,2006
134,nike,180,2006
135,air,180,2006
136,air,180,2006
137,kobe,195,2006
138,air,200,2006
139,air,200,2006
140,air,217,2006
141,air,220,2006
142,air,220,2006
143,air,220,2006
144,nike,222,2006
145,air,245,2006
146,air,250,2006
147,air,250,2006
148,nike,267,2006
149,nike,278,2006
150,air,285,2006
151,air,290,2006
152,air,300,2006
153,air,300,2006
154,air,300,2006
155,adidas,320,2006
156,nike,345,2006
157,nike,350,2006
158,air,350,2006
159,air,399,2006
160,air,400,2006
161,kobe,406,2006
162,air,427,2006
163,nike,444,2006
164,adidas,450,2006
165,nike,488,2006
166,air,500,2006
167,nike,500,2006
168,nike,550,2006
169,air,599,2006
170,lebron,800,2006
171,lebron,349,2005
172,jordan,270,2005
173,jordan,200,2005
174,lebron,249,2005
175,jordan,130,2005
176,air,150,2005
177,jordan,355,2005
178,lebron,200,2005
179,nike,400,2005
180,lebron,300,2005
181,nike,300,2005
182,nike,500,2005
183,None,476,2005
184,nike,495,2005
185,nike,550,2005
186,nike,580,2005
187,jordan,200,2005
188,jordan,375,2005
189,jordan,380,2005
190,air,400,2005
191,air,154,2005
192,nike,155,2005
193,nike,280,2005
194,nike,350,2005
195,air,350,2005
196,jordan,220,2005
197,jordan,260,2005
198,jordan,265,2005
199,nike,660,2005
200,air,130,2005
201,nike,450,2005
202,nike,900,2005
203,jordan,200,2005
204,air,500,2005
205,jordan,678,2005
206,air,699,2005
207,jordan,300,2005
208,jordan,223,2005
209,jordan,150,2005
210,jordan,310,2005
211,jordan,167,2005
212,lebron,169,2005
213,nike,200,2005
214,jordan,249,2005
215,jordan,255,2005
216,lebron,278,2005
217,lebron,285,2005
218,jordan,268,2005
219,jordan,99,2005
220,nike,145,2005
221,nike,200,2005
222,air,288,2005
223,air,300,2005
224,nike,315,2005
225,nike,325,2005
226,jordan,220,2005
227,jordan,244,2005
228,jordan,330,2005
229,jordan,230,2005
230,nike,322,2005
231,air,180,2005
232,nike,351,2005
233,jordan,250,2005
234,jordan,175,2005
235,jordan,325,2005
236,jordan,170,2005
237,jordan,175,2005
238,lebron,221,2005
239,nike,255,2005
240,jordan,185,2005
241,jordan,160,2005
242,lebron,215,2005
243,nike,399,2005
244,nike,220,2005
245,air,330,2005
246,jordan,263,2005
247,jordan,340,2005
248,air,244,2005
249,air,220,2005
250,air,400,2005
251,air,95,2005
252,air,120,2005
253,air,130,2005
254,nike,135,2005
255,air,150,2005
256,air,170,2005
257,air,175,2005
258,air,177,2005
259,air,180,2005
260,adidas,200,2005
261,air,200,2005
262,air,200,2005
263,air,210,2005
264,nike,226,2005
265,air,230,2005
266,air,250,2005
267,air,250,2005
268,air,250,2005
269,nike,288,2005
270,air,289,2005
271,air,300,2005
272,air,319,2005
273,nike,325,2005
274,air,327,2005
275,air,380,2005
276,air,388,2005
