,sneaker,price,brand,date
0,"['LeBron 11', 'Dunkman', 'LeBron 11', 'Dunkman']",170,lebron,['release: 12/31/2013']
1,"['KD 6', 'Energy', 'KD 6', 'Energy']",135,kd,['release: 12/31/2013']
2,"['Jordan 5 Retro', '3Lab5 Infrared', 'Jordan 5 Retro', '3Lab5 Infrared']",160,jordan,['release: 12/31/2013']
3,['Nike Flyknit Racer Sail Volt'],254,nike,['release: 12/30/2013']
4,['Air Foamposite One Oregon Ducks'],470,air,['release: 12/30/2013']
5,"['Jordan 1 Retro', 'Bred (2013)', 'Jordan 1 Retro', 'Bred (2013)']",395,jordan,['release: 12/28/2013']
6,['Air Force 1 Low CMFT Penny Hardaway'],150,air,['release: 12/28/2013']
7,"['Air Force 1 Low', 'Penny Hardaway', 'Air Force 1 Low', 'Penny Hardaway']",220,air,['release: 12/28/2013']
8,"['Jordan 1 Retro', 'Bred 2013 (GS)', 'Jordan 1 Retro', 'Bred 2013 (GS)']",295,jordan,['release: 12/28/2013']
9,"['Kobe 4', 'Prelude (Finals MVP)', 'Kobe 4', 'Prelude (Finals MVP)']",560,kobe,['release: 12/28/2013']
10,['Reebok Vulcanized Workout Low White'],192,reebok,['release: 12/27/2013']
11,['Nike Flyknit Max Black Atomic Orange Volt'],231,nike,['release: 12/27/2013']
12,"['Jordan 12 Retro', 'Gamma Blue', 'Jordan 12 Retro', 'Gamma Blue']",350,jordan,['release: 12/26/2013']
13,"['LeBron 11', 'Christmas', 'LeBron 11', 'Christmas']",170,lebron,['release: 12/26/2013']
14,"['KD 6', 'Christmas', 'KD 6', 'Christmas']",190,kd,['release: 12/26/2013']
15,"['Kobe 8 SS', 'Christmas (2013)', 'Kobe 8 SS', 'Christmas (2013)']",225,kobe,['release: 12/26/2013']
16,"['Jordan 12 Retro', 'Gamma Blue (PS)', 'Jordan 12 Retro', 'Gamma Blue (PS)']",91,jordan,['release: 12/26/2013']
17,"['Kobe 8 SS', 'Christmas 2013 (GS)', 'Kobe 8 SS', 'Christmas 2013 (GS)']",165,kobe,['release: 12/26/2013']
